word,feminine,neuter,comparative,superlative,adverb,declension,adj_stem
enodis,enodis,enode,enodior,enodissimus,enoditer,3,enod
epidicticus,epidictica,epidicticum,epidicticior,epidicticissimus,epidictice,12,epidictic
equitabilis,equitabilis,equitabile,equitabilior,equitabilissimus,equitabiliter,3,equitabil
muriaticus,muriatica,muriaticum,muriaticior,muriaticissimus,muriatice,12,muriatic
excusabilis,excusabilis,excusabile,excusabilior,excusabilissimus,excusabiliter,3,excusabil
expugnabilis,expugnabilis,expugnabile,expugnabilior,expugnabilissimus,expugnabiliter,3,expugnabil
exsequialis,exsequialis,exsequiale,exsequialior,exsequialissimus,exsequialiter,3,exsequial
exsomnis,exsomnis,exsomne,exsomnior,exsomnissimus,exsomniter,3,exsomn
exsors,exsors,exsors,exsortior,exsortissimus,exsortiter,3,exsort
expugnax,expugnax,expugnax,expugnacior,expugnacissimus,expugnaciter,3,expugnac
exsuperabilis,exsuperabilis,exsuperabile,exsuperabilior,exsuperabilissimus,exsuperabiliter,3,exsuperabil
extorris,extorris,extorre,extorrior,extorrissimus,extorriter,3,extorr
decimanus,decimana,decimanum,decimanior,decimanissimus,decimane,12,deciman
exanguis,exanguis,exangue,exanguior,exanguissimus,exanguiter,3,exangu
exanimus,exanima,exanimum,exanimior,exanimissimus,exanime,12,exanim
falcifer,falcifera,falciferum,falciferior,falciferrimus,falcifere,12,falcifer
farratus,farrata,farratum,farratior,farratissimus,farrate,12,farrat
fatifer,fatifera,fatiferum,fatiferior,fatiferrimus,fatifere,12,fatifer
fatiloquus,fatiloqua,fatiloquum,fatiloquior,fatiloquissimus,fatiloque,12,fatiloqu
fagineus,faginea,fagineum,fagineior,fagineissimus,faginee,12,fagine
favorabilis,favorabilis,favorabile,favorabilius,favorabilissimus,favorabiliter,3,favorabil
flabilis,flabilis,flabile,flabilior,flabilissimus,flabiliter,3,flabil
fissilis,fissilis,fissile,fissilior,fissilissimus,fissiliter,3,fissil
flammifer,flammifera,flammiferum,flammiferior,flammiferrimus,flammifere,12,flammifer
flumineus,fluminea,flumineum,flumineior,flumineissimus,fluminee,12,flumine
forabilis,forabilis,forabile,forabilior,forabilissimus,forabiliter,3,forabil
forticulus,forticula,forticulum,forticulior,forticulissimus,forticule,12,forticul
fulguralis,fulguralis,fulgurale,fulguralior,fulguralissimus,fulguraliter,3,fulgural
fumificus,fumifica,fumificum,fumificior,fumificissimus,fumifice,12,fumific
fumidus,fumida,fumidum,fumidior,fumidissimus,fumide,12,fumid
flexanimus,flexanima,flexanimum,flexanimior,flexanimissimus,flexanime,12,flexanim
acrus,acra,acrum,acrior,acrissimus,acre,12,acr
glandifer,glandifera,glandiferum,glandiferior,glandiferrimus,glandifere,12,glandifer
gradatus,gradata,gradatum,gradatior,gradatissimus,gradate,12,gradat
grandiculus,grandicula,grandiculum,grandiculior,grandiculissimus,grandicule,12,grandicul
galeritus,galerita,galeritum,galeritior,galeritissimus,galerite,12,galerit
haruspicinus,haruspicina,haruspicinum,haruspicinior,haruspicinissimus,haruspicine,12,haruspicin
herbifer,herbifera,herbiferum,herbiferior,herbiferrimus,herbifere,12,herbifer
hilarulus,hilarula,hilarulum,hilarulior,hilarulissimus,hilarule,12,hilarul
horridulus,horridula,horridulum,horridulior,horridulissimus,horridule,12,horridul
spumeus,spumea,spumeum,spumeior,spumeissimus,spumee,12,spume
spumifer,spumifera,spumiferum,spumiferior,spumiferrimus,spumifere,12,spumifer
spumidus,spumida,spumidum,spumidior,spumidissimus,spumide,12,spumid
uncialis,uncialis,unciale,uncialior,uncialissimus,uncialiter,3,uncial
alveolatus,alveolata,alveolatum,alveolatior,alveolatissimus,alveolate,12,alveolat
analogus,analoga,analogum,analogior,analogissimus,analoge,12,analog
anfractuosus,anfractuosa,anfractuosum,anfractuosior,anfractuosissimus,anfractuose,12,anfractuos
brachiatus,brachiata,brachiatum,brachiatior,brachiatissimus,brachiate,12,brachiat
bracchiatus,bracchiata,bracchiatum,bracchiatior,bracchiatissimus,bracchiate,12,bracchiat
deciduus,decidua,deciduum,deciduior,deciduissimus,decidue,12,decidu
linguatulus,linguatula,linguatulum,linguatulior,linguatulissimus,linguatule,12,linguatul
ignorabilis,ignorabilis,ignorabile,ignorabilior,ignorabilissimus,ignorabiliter,3,ignorabil
ictericus,icterica,ictericum,ictericior,ictericissimus,icterice,12,icteric
immersabilis,immersabilis,immersabile,immersabilior,immersabilissimus,immersabiliter,3,immersabil
immemoratus,immemorata,immemoratum,immemoratior,immemoratissimus,immemorate,12,immemorat
immedicabilis,immedicabilis,immedicabile,immedicabilior,immedicabilissimus,immedicabiliter,3,immedicabil
immodestus,immodesta,immodestum,immodestior,immodestissimus,immodeste,12,immodest
immansuetus,immansueta,immansuetum,immansuetior,immansuetissimus,immansuete,12,immansuet
immiserabilis,immiserabilis,immiserabile,immiserabilior,immiserabilissimus,immiserabiliter,3,immiserabil
impastus,impasta,impastum,impastior,impastissimus,impaste,12,impast
imperceptus,impercepta,imperceptum,imperceptior,imperceptissimus,impercepte,12,impercept
impercussus,impercussa,impercussum,impercussior,impercussissimus,impercusse,12,impercuss
imperditus,imperdita,imperditum,imperditior,imperditissimus,imperdite,12,imperdit
imperfossus,imperfossa,imperfossum,imperfossior,imperfossissimus,imperfosse,12,imperfoss
imperterritus,imperterrita,imperterritum,imperterritior,imperterritissimus,imperterrite,12,imperterrit
imperturbatus,imperturbata,imperturbatum,imperturbatior,imperturbatissimus,imperturbate,12,imperturbat
implacidus,implacida,implacidum,implacidior,implacidissimus,implacide,12,implacid
importuosus,importuosa,importuosum,importuosior,importuosissimus,importuose,12,importuos
implacatus,implacata,implacatum,implacatior,implacatissimus,implacate,12,implacat
improbulus,improbula,improbulum,improbulior,improbulissimus,improbule,12,improbul
improcerus,improcera,improcerum,improcerior,improcerissimus,improcere,12,improcer
impuratus,impurata,impuratum,impuratior,impuratissimus,impurate,12,impurat
improsper,improspera,improsperum,improsperior,improsperrimus,improspere,12,improsper
virdis,virdis,virde,virdior,virdissimus,virditer,3,vird
inclutus,incluta,inclutum,inclutior,inclutissimus,inclute,12,inclut
tetricus,tetrica,tetricum,tetricior,tetricissimus,tetrice,12,tetric
inamabilis,inamabilis,inamabile,inamabilior,inamabilissimus,inamabiliter,3,inamabil
